from,to,feature,cohens_d_full,cohens_d_A,cohens_d_B,pval_A,pval_B,n_probes,replicated
TH,HPF,trough_val,1.4215,2.0170081346575803,0.9934070755239727,6.769072814439782e-40,1.7088187083167787e-21,19,True
TH,HPF,peak_val,1.291,1.0769951538502713,1.5206184064045984,1.0365319338174229e-16,3.097398310367429e-40,19,True
TH,root,trough_val,1.2721,1.3892896792606515,1.1833759010122546,8.078269011963171e-56,5.866711252168475e-44,92,True
TH,HPF,repolarisation_slope,1.2538,1.781131365141553,0.9976285246818916,3.939110641800643e-38,4.807865745334422e-21,19,True
TH,root,peak_val,1.2494,1.0209013709481098,1.4921613153133721,1.6978265118422757e-34,5.700924838671825e-58,92,True
TH,HPF,psd_gamma,1.207,1.0276945454656983,1.5269765391471677,6.284538360497294e-19,4.38006322525217e-35,19,True
TH,HPF,psd_beta,1.2029,2.195838417056505,0.8478705261828515,2.4939228697412616e-48,3.438096326800416e-17,19,True
TH,HPF,psd_alpha,1.1991,1.6980529845129915,0.8977154192029735,7.497921575300125e-36,1.678766624961123e-19,19,True
TH,HPF,cor_ratio,1.193,1.4795084817956556,1.0076562253613097,2.697965583437096e-31,8.539629291334042e-21,19,True
TH,HPF,psd_alpha_csd_diff1,1.1914,1.4534548830139178,1.0377045612155456,3.8384079759994338e-28,3.3094208831652154e-21,19,True
TH,root,repolarisation_slope,1.1584,0.9596416375123368,1.4184798790516784,3.711450146515765e-31,1.2407696209132445e-57,92,True
TH,root,recovery_slope,1.1537,1.0156422989775917,1.3086850579940243,5.423994858399251e-43,1.8135369660480585e-48,92,True
TH,HPF,psd_lfp,1.1451,2.256527009067245,0.6578880066279308,5.48986791553335e-53,1.318344751992691e-12,19,True
TH,HPF,psd_beta_csd_diff1,1.1339,1.4103723037765636,1.011231416340876,1.3133658293868291e-31,2.337077950536157e-20,19,True
TH,HPF,rms_lf,1.1336,1.6337046605228758,0.7615443486105105,1.2019838263596464e-34,1.8921200470503698e-16,19,True
TH,HPF,recovery_slope,1.12,1.2243603604484523,1.0594234637800088,8.898868709082363e-32,1.6749349309257262e-25,19,True
TH,HPF,psd_theta_csd_diff1,1.1167,1.0890749556960648,1.2180950334230602,1.4474396747616132e-20,6.78112441742954e-26,19,True
TH,HPF,psd_delta,1.1103,1.4508085519096294,0.9774021998437297,1.3706127344081204e-29,4.9130564624448924e-23,19,True
TH,HPF,alpha_mean,1.1081,0.9722702504425896,1.362302498291685,1.1053165076216953e-14,2.671740093383226e-32,19,True
TH,HPF,rms_lf_csd_diff1,1.0902,0.9793180746847189,1.259734461984674,5.019239085131095e-17,4.186259534297866e-28,19,True
TH,HPF,psd_lfp_csd_diff1,1.0827,1.421168067050674,0.872820802118981,5.558857117223929e-32,3.680969503646343e-16,19,True
TH,HPF,psd_theta,1.0653,1.0173283258834858,1.1764700115544042,1.211826242112144e-20,1.0617390050590561e-24,19,True
TH,HPF,psd_alpha_csd,1.0611,1.2657351988244365,0.8868786626416989,5.861269747179619e-25,4.040092541982588e-18,19,True
TH,HPF,psd_gamma_csd_diff1,1.0392,1.0837170891856331,1.024838286363218,8.260665662957136e-23,4.7347634207876686e-21,19,True
TH,HPF,psd_delta_csd_diff1,1.016,0.9641240257365583,1.1162328761629714,5.978016347688998e-19,6.556015417715441e-28,19,True
TH,HPF,psd_theta_csd,1.0105,0.9264954199210794,1.109636871161915,1.3894379358258663e-16,2.559143690393455e-23,19,True
TH,HPF,aperiodic_offset,0.9682,0.7255073231450045,1.324621327270703,1.363957503904521e-13,1.8499349138962897e-28,19,True
TH,root,tip_val,0.9663,0.9021748860737726,1.0384915780336192,1.6468550907518862e-32,2.424552662043814e-37,92,True
TH,HPF,psd_beta_csd,0.9485,1.54339168146563,0.6267999962893335,6.567145008415288e-32,2.471222310695272e-09,19,True
TH,root,depolarisation_slope,0.9448,1.0076366304707725,0.8647964917313302,5.21444658525687e-39,1.2128622499420895e-27,92,True
void_fluid,Isocortex,peak_val,0.9286,0.8987204195751016,0.9645100475820273,1.586583747843038e-22,9.119068536953948e-21,40,True
HB,VS,trough_val,0.903,0.8617568782766427,0.9609956414149009,4.824191083387056e-35,3.177362280833707e-49,55,True
void_fluid,Isocortex,trough_val,0.8951,0.983819212325384,0.7961778923842101,2.448061716497413e-26,3.9959882619683566e-14,40,True
TH,HPF,rms_lf_csd,0.8764,0.6492756542837096,1.1558051192524974,2.180606228784723e-09,8.378607257554996e-24,19,True
HB,VS,peak_val,0.8743,1.057179137002513,0.740500435446501,1.6421803983019026e-51,1.0793635020648937e-31,55,True
TH,HPF,psd_lfp_csd,0.873,0.48635758600334766,1.4007418154081672,5.282585674830708e-07,3.034476112894134e-32,19,False
