boundary,n_voxels,rms_lf,psd_lfp,psd_alpha,psd_beta,psd_gamma,psd_delta,psd_theta,psd_lfp_csd,psd_alpha_csd,psd_beta_csd,psd_gamma_csd,psd_delta_csd,psd_theta_csd,rms_lf_csd,psd_residual_lfp,psd_residual_alpha,psd_residual_beta,psd_residual_gamma,psd_residual_delta,psd_residual_theta,decay_fit_error,decay_fit_r_squared,decay_n_peaks,aperiodic_exponent,aperiodic_offset,cor_ratio,rms_ap,alpha_mean,alpha_std,spike_count,tip_time_secs,recovery_time_secs,peak_time_secs,trough_time_secs,trough_val,tip_val,peak_val,recovery_slope,depolarisation_slope,repolarisation_slope,polarity
Isocortex-HPF,29892,-86.25841522216797,-107.31998443603516,-103.01884460449219,-109.04589080810547,-112.56604766845703,-96.28352355957031,-100.07977294921875,-202.5839080810547,-197.6890869140625,-201.2852783203125,-205.69259643554688,-204.9915771484375,-196.72213745117188,-182.45838928222656,1.6441075801849365,2.07918381690979,1.1811915636062622,1.539168357849121,0.48377272486686707,2.966733694076538,0.12077312916517258,0.9195141792297363,1.8314160108566284,1.2946542501449585,-9.271088600158691,0.3354700803756714,-97.07225799560547,74.73941040039062,31.354698181152344,4.465727806091309,-0.00043901667231693864,0.0006020027794875205,2.764359805951244e-06,0.0004347660287749022,0.9633184671401978,0.42810556292533875,-2.787862777709961,-1278.2022705078125,-13111.447265625,9793.1650390625,-0.5579383969306946
Isocortex-OLF,45220,-84.85942840576172,-105.88949584960938,-103.29450225830078,-107.38604736328125,-109.94230651855469,-94.68524932861328,-99.8814926147461,-204.36085510253906,-199.6425018310547,-202.17567443847656,-206.74118041992188,-206.52162170410156,-199.00326538085938,-183.9927978515625,1.8714306354522705,0.5680822134017944,0.8660677075386047,2.0182836055755615,1.1276925802230835,1.5192205905914307,0.11799397319555283,0.9004722833633423,1.9561325311660767,1.1961692571640015,-9.201911926269531,0.31660744547843933,-97.51541137695312,75.38777923583984,30.40472412109375,4.226776123046875,-0.00044465865357778966,0.000606564455665648,2.4398598270636285e-06,0.00044003993389196694,0.8767859935760498,0.3983898162841797,-2.5667214393615723,-1138.8026123046875,-11653.57421875,8381.2529296875,-0.5351853370666504
OLF-HPF,10026,-83.55690002441406,-104.81681060791016,-100.90884399414062,-106.66168975830078,-109.12891387939453,-94.13589477539062,-98.40753173828125,-200.49398803710938,-195.565673828125,-198.52674865722656,-203.96351623535156,-203.47059631347656,-194.6437225341797,-180.38685607910156,2.152297258377075,1.0456010103225708,0.9728302359580994,2.326599359512329,0.4657409191131592,1.9085941314697266,0.11408592015504837,0.9128386378288269,2.203761339187622,1.2294198274612427,-9.080575942993164,0.35355204343795776,-97.52257537841797,87.98638916015625,42.640499114990234,4.165367126464844,-0.00047372060362249613,0.0006406430620700121,1.9271099063189467e-06,0.0004696906544268131,0.8935582041740417,0.35339054465293884,-2.593961715698242,-933.4248657226562,-10890.41015625,7932.59130859375,-0.48547205328941345
HPF-CTXsp,7825,-83.70154571533203,-104.73175811767578,-100.83372497558594,-106.3637924194336,-110.20355224609375,-93.72438049316406,-97.97398376464844,-201.78912353515625,-196.53199768066406,-199.7900848388672,-204.6854248046875,-205.0299072265625,-196.1876678466797,-181.3898468017578,1.5240715742111206,1.5115509033203125,1.1893764734268188,1.5261280536651611,0.4035995602607727,2.2472028732299805,0.11464958637952805,0.9317182898521423,2.060250759124756,1.3286550045013428,-8.943976402282715,0.2929685413837433,-98.44149017333984,71.71314239501953,31.306983947753906,4.067576885223389,-0.0004589726449921727,0.0006153202848508954,1.9972621885244735e-06,0.00044774942216463387,0.7424899935722351,0.3445782959461212,-2.2624361515045166,-816.9188842773438,-10164.208984375,6721.0771484375,-0.4604097902774811
Isocortex-CTXsp,23895,-88.442626953125,-109.70525360107422,-107.14774322509766,-110.41891479492188,-112.51327514648438,-99.15353393554688,-104.36743927001953,-206.0001220703125,-200.66859436035156,-204.4434814453125,-208.52976989746094,-207.53831481933594,-199.57208251953125,-185.6361541748047,2.0869760513305664,0.4870959222316742,0.9688788056373596,2.2873501777648926,0.8528950810432434,1.2358546257019043,0.1097729280591011,0.8979424834251404,2.213676929473877,1.058764934539795,-9.720088958740234,0.2971934378147125,-97.38654327392578,71.31351470947266,29.842056274414062,4.487814426422119,-0.00042693677823990583,0.000608899921644479,3.0282401439762907e-06,0.000443728786194697,0.9836333394050598,0.489667683839798,-3.037278890609741,-1223.7174072265625,-14252.4990234375,9040.1923828125,-0.5959289073944092
OLF-CTXsp,60904,-84.85948944091797,-105.74312591552734,-102.82072448730469,-106.88128662109375,-109.58562469482422,-95.56185150146484,-99.83634948730469,-204.39645385742188,-199.23704528808594,-202.47161865234375,-206.76585388183594,-206.39564514160156,-198.66061401367188,-184.10699462890625,2.3426389694213867,1.096692681312561,1.1443185806274414,2.4723761081695557,0.5941404700279236,1.8574573993682861,0.11198043078184128,0.9109810590744019,2.31508469581604,1.1786836385726929,-9.220272064208984,0.355591356754303,-97.45793151855469,83.21514129638672,38.890960693359375,4.335997581481934,-0.00045324722304940224,0.0006182194338180125,2.5137924239970744e-06,0.00045149881043471396,1.0319048166275024,0.43223071098327637,-2.9975650310516357,-1189.7921142578125,-12734.298828125,9251.6708984375,-0.5759742259979248
CTXsp-CNU,28279,-88.21117401123047,-109.24736022949219,-106.43093872070312,-110.31497955322266,-113.24397277832031,-98.71524810791016,-103.24034881591797,-206.53677368164062,-200.86062622070312,-204.89353942871094,-208.8839569091797,-207.86598205566406,-200.18942260742188,-185.85533142089844,2.174807548522949,1.2648694515228271,1.2187883853912354,2.1922202110290527,0.48001450300216675,1.8964099884033203,0.11202125996351242,0.9186515808105469,2.2506096363067627,1.2092742919921875,-9.542519569396973,0.30621039867401123,-97.78780364990234,69.5759506225586,27.98317527770996,4.328661918640137,-0.00043807216570712626,0.0005962403956800699,2.6119730591744883e-06,0.00043016509152948856,0.9266278743743896,0.42847850918769836,-2.706381320953369,-1165.3270263671875,-12493.12109375,8990.30078125,-0.5649939179420471
Isocortex-CNU,1024,-88.1475830078125,-109.7589111328125,-106.55938720703125,-109.96514892578125,-112.77899169921875,-98.70880126953125,-103.7073974609375,-206.419677734375,-201.1318359375,-204.7008056640625,-208.826904296875,-207.9334716796875,-200.1568603515625,-185.6590576171875,1.8475894927978516,0.6958645582199097,1.0298752784729004,1.9375877380371094,0.8657262325286865,1.510725975036621,0.11141103506088257,0.9033761024475098,2.0977697372436523,1.1020102500915527,-9.657844543457031,0.32251667976379395,-96.71868896484375,70.35684204101562,29.264366149902344,4.6724853515625,-0.00041699805296957493,0.0005884282290935516,3.2060197554528713e-06,0.0004224446602165699,0.920588493347168,0.4790215492248535,-2.876558303833008,-1263.9794921875,-14278.734375,9343.33984375,-0.5876235961914062
HB-CB,12283,-90.23917388916016,-112.44232940673828,-110.6369400024414,-114.61973571777344,-117.39094543457031,-100.52090454101562,-107.60224151611328,-201.7967987060547,-195.32003784179688,-200.4567108154297,-205.56895446777344,-201.3621826171875,-194.04078674316406,-180.74876403808594,1.5956984758377075,0.6655484437942505,0.20110371708869934,1.6058987379074097,2.7386462688446045,1.6511844396591187,0.12762227654457092,0.8396238088607788,1.5301257371902466,1.047990322113037,-10.109129905700684,0.5645167827606201,-90.82415008544922,92.21320343017578,35.72488784790039,4.762965679168701,-0.0004125499108340591,0.0005077045643702149,2.0926845536450855e-06,0.00034253651392646134,0.8076406121253967,0.35066235065460205,-2.2758405208587646,-1546.35009765625,-12816.3623046875,11327.5166015625,-0.536493718624115
OLF-CNU,42516,-85.36772918701172,-106.36756896972656,-104.01116943359375,-107.27677917480469,-109.89987182617188,-95.3739242553711,-100.5781478881836,-205.28033447265625,-200.19960021972656,-203.31512451171875,-207.65333557128906,-206.81785583496094,-199.6014404296875,-184.90005493164062,2.2182443141937256,0.785387396812439,1.1377781629562378,2.333728790283203,1.0178648233413696,1.4485797882080078,0.11418017745018005,0.9049873948097229,2.1809744834899902,1.1570639610290527,-9.302566528320312,0.3892281949520111,-96.00814056396484,81.20278930664062,35.71245574951172,4.483312129974365,-0.00043837924022227526,0.0005940554547123611,2.8881377147627063e-06,0.00043013866525143385,1.0705337524414062,0.46893247961997986,-3.1603288650512695,-1438.4627685546875,-13942.984375,10637.3642578125,-0.6153872609138489
