from,to,feature,n_trans,n_probes,cohens_d,pval,pval_bonf
HPF,MB,psd_beta_csd,17,17,2.6962,1.8232891523141593e-31,2.953728426748938e-28
HPF,MB,rms_lf_csd,17,17,2.5882,1.4719323428986363e-30,2.384530395495791e-27
HPF,MB,psd_lfp_csd,17,17,2.5694,1.76045338484666e-30,2.851934483451589e-27
HPF,MB,psd_theta_csd,17,17,2.5031,2.5713779302654e-29,4.165632247029948e-26
HPF,MB,psd_alpha_csd,17,17,2.4236,2.1227668246778024e-28,3.43888225597804e-25
HPF,MB,psd_delta_csd,17,17,2.422,2.7613274600160576e-31,4.473350485226013e-28
HPF,MB,rms_lf_csd_diff1,17,17,2.3556,1.305520031524273e-29,2.1149424510693225e-26
HPF,MB,psd_lfp_csd_diff1,17,17,2.3391,3.6492553877026666e-29,5.91179372807832e-26
HPF,MB,psd_beta_csd_diff1,17,17,2.3192,5.803028148148546e-28,9.400905600000644e-25
HPF,MB,psd_delta_csd_diff1,17,17,2.3069,5.134524137538745e-31,8.317929102812768e-28
HPF,MB,psd_theta_csd_diff1,17,17,2.2536,3.556696507550418e-28,5.761848342231677e-25
HPF,MB,psd_gamma_csd,17,17,2.2484,6.192367196134212e-25,1.0031634857737423e-21
HPF,MB,psd_alpha_csd_diff1,17,17,2.1385,6.653516081438829e-26,1.0778696051930903e-22
HPF,MB,psd_gamma_csd_diff1,17,17,2.097,3.0987546118509393e-25,5.019982471198522e-22
HPF,MB,psd_beta,17,17,1.854,1.5132045229443615e-24,2.4513913271698656e-21
TH,CNU,alpha_std,22,22,1.7665,1.7135340136003447e-10,2.7759251020325586e-07
TH,CNU,cor_ratio,22,22,1.585,2.7134326571187415e-08,4.3957609045323614e-05
TH,CNU,trough_time_secs,22,22,1.544,4.566647134430039e-10,7.397968357776663e-07
TH,CNU,recovery_time_secs,22,22,1.5438,2.656452120382688e-10,4.3034524350199544e-07
HPF,MB,psd_gamma,17,17,1.4657,4.4011499526771925e-18,7.129862923337052e-15
TH,CNU,alpha_mean,22,22,1.4376,3.976055775680955e-07,0.0006441210356603146
TH,CNU,rms_ap,22,22,1.4011,3.289761527159847e-08,5.329413673998952e-05
HPF,MB,psd_lfp,17,17,1.2909,5.267373834443415e-17,8.533145611798333e-14
TH,HPF,rms_lf_csd_diff1,198,198,1.2033,0.0,0.0
TH,HPF,psd_alpha_csd_diff1,198,198,1.1986,0.0,0.0
TH,HPF,psd_lfp_csd_diff1,198,198,1.1976,0.0,0.0
HPF,MB,psd_theta,17,17,1.1961,5.054118704249435e-12,8.187672300884086e-09
TH,HPF,psd_theta_csd_diff1,198,198,1.1886,0.0,0.0
TH,HPF,psd_alpha_csd,198,198,1.1749,0.0,0.0
TH,HPF,psd_beta_csd_diff1,198,198,1.1657,0.0,0.0
TH,HPF,psd_theta_csd,198,198,1.1555,0.0,0.0
TH,HPF,psd_delta_csd_diff1,198,198,1.1549,0.0,0.0
TH,HPF,psd_beta_csd,198,198,1.1152,0.0,0.0
TH,HPF,psd_lfp_csd,198,198,1.0999,0.0,0.0
TH,HPF,rms_lf_csd,198,198,1.0985,0.0,0.0
TH,HPF,psd_gamma_csd_diff1,198,198,1.0977,0.0,0.0
HPF,MB,trough_time_secs,17,17,1.0565,1.6921613590830973e-17,2.7413014017146176e-14
TH,HPF,psd_beta,198,198,1.0516,0.0,0.0
HPF,MB,psd_alpha,17,17,1.0408,1.0493756255541537e-13,1.699988513397729e-10
HPF,MB,recovery_time_secs,17,17,1.0335,3.4154153348530975e-17,5.532972842462018e-14
TH,HPF,psd_gamma_csd,198,198,1.0079,4.2347381868154324e-274,6.860275862641e-271
TH,HPF,psd_delta_csd,198,198,1.0063,3.0368110283663325e-273,4.919633865953459e-270
TH,CNU,depolarisation_slope,22,22,1.0028,1.391498408997639e-05,0.02254227422576175
TH,CNU,distance_to_tip_um,22,22,0.9975,0.000708843523170799,1.0
TH,HPF,psd_gamma,198,198,0.9881,0.0,0.0
TH,HPF,psd_theta,198,198,0.9818,8.99409307532313e-310,1.4570430782023467e-306
TH,HPF,psd_lfp,198,198,0.9797,2.9383930877545033e-300,4.760196802162295e-297
TH,HPF,psd_alpha,198,198,0.9487,1.4425741937153074e-292,2.336970193818798e-289
TH,HPF,cor_ratio,198,198,0.9459,6.9650689781874e-262,1.1283411744663588e-258
CNU,TH,trough_val,22,22,0.9339,2.081782387618488e-09,3.372487467941951e-06
CNU,TH,recovery_slope,22,22,0.9308,6.503456963930365e-09,1.053560028156719e-05
CNU,TH,peak_val,22,22,0.9048,7.500911644910225e-10,1.2151476864754565e-06
TH,CNU,trough_val,22,22,0.8912,0.000507054742171907,0.8214286823184893
TH,HPF,psd_delta,198,198,0.8893,1.0787060690639363e-244,1.7475038318835768e-241
TH,CNU,psd_gamma_csd_diff1,22,22,0.885,8.127743458237444e-05,0.1316694440234466
HPF,Isocortex,psd_alpha_csd,313,310,0.8772,2.0252449395586728e-215,3.28089680208505e-212
HPF,fiber tracts,distance_to_tip_um,21,21,0.8769,3.6166213698811365e-31,5.858926619207441e-28
HPF,MB,psd_delta,17,17,0.8743,2.8444421997013014e-09,4.607996363516108e-06
HPF,MB,rms_ap,17,17,0.8728,2.535914793061899e-12,4.108181964760276e-09
HPF,Isocortex,psd_beta_csd,313,310,0.8711,6.314698861046069e-224,1.0229812154894632e-220
TH,CNU,peak_val,22,22,0.8682,0.002184164471577883,1.0
HPF,Isocortex,psd_theta_csd,313,310,0.8568,1.8887280528455343e-208,3.0597394456097657e-205
fiber tracts,root,alpha_std,17,13,0.854,2.111603701999991e-09,3.4207979972399858e-06
MB,HPF,trough_time_secs,120,119,0.8526,1.1212360468658214e-129,1.816402395922631e-126
TH,CNU,repolarisation_slope,22,22,0.8432,0.00040622655862523454,0.65808702497288
MB,HPF,recovery_time_secs,120,119,0.8382,8.958464359236629e-128,1.451271226196334e-124
TH,CNU,psd_beta_csd_diff1,22,22,0.837,0.0015501627709288604,1.0
TH,HPF,aperiodic_offset,198,198,0.8279,1.3135379823618994e-219,2.127931531426277e-216
HPF,Isocortex,psd_lfp_csd,313,310,0.8195,3.8430681224837937e-205,6.225770358423746e-202
HPF,MB,peak_val,17,17,0.8163,3.136754448852604e-08,5.0815422071412184e-05
HPF,Isocortex,psd_gamma_csd,313,310,0.8139,3.576441780951977e-208,5.793835685142203e-205
CB,void_fluid,peak_val,29,29,0.8119,3.390779613195978e-17,5.493062973377484e-14
HPF,Isocortex,rms_lf_csd,313,310,0.8101,2.7127350807503835e-200,4.3946308308156214e-197
CNU,TH,repolarisation_slope,22,22,0.8065,2.223862257857993e-09,3.6026568577299488e-06
MB,HPF,psd_beta_csd,120,119,0.7954,5.1819730876768164e-101,8.394796402036442e-98
TH,CNU,psd_alpha_csd_diff1,22,22,0.7917,0.015377477303303827,1.0
MB,HPF,psd_alpha_csd,120,119,0.79,8.602624505635677e-101,1.3936251699129797e-97
CTXsp,HPF,trough_time_secs,28,28,0.7868,2.6879797846095095e-30,4.354527251067405e-27
CTXsp,HPF,recovery_time_secs,28,28,0.7863,4.1318711933742715e-30,6.69363133326632e-27
TH,HPF,rms_lf,198,198,0.7817,1.735881082546039e-232,2.8121273537245833e-229
TH,CNU,tip_time_secs,22,22,0.7738,0.00019157518962716703,0.3103518071960106
CB,void_fluid,tip_val,29,29,0.7726,9.959584343104947e-16,1.6134526635830014e-12
TH,CNU,psd_theta_csd_diff1,22,22,0.7725,0.011585842039204104,1.0
TH,HPF,rms_ap,198,198,0.7699,5.727782848092779e-199,9.279008213910302e-196
MB,HPF,psd_theta_csd,120,119,0.764,6.118641930681387e-96,9.912199927703847e-93
TH,CNU,psd_lfp_csd_diff1,22,22,0.7627,0.0004612791355117361,0.7472721995290125
CB,void_fluid,depolarisation_slope,29,29,0.7626,1.7039857213796377e-15,2.760456868635013e-12
MB,HPF,psd_gamma_csd,120,119,0.7493,1.6755413481962843e-90,2.7143769840779804e-87
MB,HPF,psd_lfp_csd,120,119,0.7471,1.7219703706207178e-88,2.7895920004055625e-85
TH,CNU,rms_lf_csd_diff1,22,22,0.742,0.000856968745045533,1.0
MB,HPF,rms_lf_csd,120,119,0.7383,1.8365134183584216e-86,2.9751517377406428e-83
TH,CNU,tip_val,22,22,0.7366,0.0011226164268091667,1.0
HPF,Isocortex,psd_beta_csd_diff1,313,310,0.7347,1.5898623986177096e-181,2.57557708576069e-178
HPF,Isocortex,psd_gamma_csd_diff1,313,310,0.7313,4.1145541683082403e-188,6.66557775265935e-185
HPF,Isocortex,psd_alpha_csd_diff1,313,310,0.7188,4.433321299607227e-166,7.181980505363708e-163
TH,CNU,psd_gamma,22,22,0.7051,0.003399335955382153,1.0
