model,class,accuracy
gb,overall,0.470828471411902
gb,CNU_to_Isocortex,0.7
gb,CNU_to_OLF,0.0
gb,CTXsp_to_CNU,0.40816326530612246
gb,HB_to_CB,0.7279411764705882
gb,HB_to_MB,0.34615384615384615
gb,HPF_to_Isocortex,0.7290322580645161
gb,HY_to_CNU,0.18518518518518517
gb,HY_to_TH,0.45454545454545453
gb,Isocortex_to_void,0.07017543859649122
gb,Isocortex_to_void_fluid,0.07476635514018691
gb,MB_to_HPF,0.5462184873949579
gb,MB_to_Isocortex,0.32558139534883723
gb,MB_to_TH,0.16666666666666666
gb,OLF_to_CTXsp,0.5217391304347826
gb,OLF_to_Isocortex,0.21875
gb,TH_to_HPF,0.7424242424242424
gb,TH_to_MB,0.047619047619047616
gb,void_fluid_to_void,0.125
