class,accuracy,balanced_accuracy
overall,0.9449427005480817,0.9382265060518451
CB_to_void_fluid,0.9801699716713881,
CNU_to_Isocortex,0.9900497512437811,
CNU_to_OLF,0.8679245283018868,
CTXsp_to_CNU,0.9609756097560975,
CTXsp_to_HPF,0.8627450980392157,
HB_to_CB,0.964824120603015,
HB_to_MB,0.935,
HPF_to_Isocortex,0.9343065693430657,
HY_to_CNU,0.9538461538461539,
HY_to_TH,0.9947916666666666,
Isocortex_to_void_fluid,0.9862385321100917,
MB_to_HPF,0.9181818181818182,
MB_to_Isocortex,0.940677966101695,
MB_to_void_fluid,0.9924242424242424,
OLF_to_CTXsp,0.9384164222873901,
OLF_to_Isocortex,0.8923512747875354,
OLF_to_void_fluid,0.9349593495934959,
TH_to_HPF,0.9865470852017937,
fiber tracts_to_OLF,0.9176954732510288,
void_fluid_to_CB,0.9497206703910615,
void_fluid_to_CNU,0.9527896995708155,
void_fluid_to_HB,0.96,
void_fluid_to_HPF,0.9141414141414141,
void_fluid_to_Isocortex,0.9171974522292994,
void_fluid_to_OLF,0.9206842923794712,
void_fluid_to_fiber tracts,0.8681592039800995,
void_fluid_to_root,0.8972972972972973,
