,void,VS,MB,Isocortex,CB,TH,CNU,OLF,CTXsp,root,fiber tracts,HB,HPF,HY,void_fluid
void,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
VS,0,0,0,0,4,0,1,0,0,9,11,2,0,1,0
MB,0,2,0,43,4,101,0,0,0,5,7,9,120,24,7
Isocortex,57,0,0,0,0,0,6,5,11,0,3,0,4,0,107
CB,3,0,26,2,0,0,0,0,0,0,19,14,5,0,29
TH,0,5,52,15,0,0,22,0,0,11,8,0,198,3,0
CNU,0,3,0,110,0,22,0,33,5,0,15,0,11,26,0
OLF,0,0,0,69,0,0,18,0,70,0,0,0,8,0,0
CTXsp,0,0,1,18,0,1,52,5,0,0,0,0,28,0,0
root,0,9,5,0,0,0,1,0,0,0,27,1,0,1,1
fiber tracts,0,15,27,2,6,21,7,3,0,17,0,16,1,9,1
HB,0,0,87,0,150,0,0,0,0,0,0,0,3,0,0
HPF,0,1,17,313,0,5,0,0,3,1,21,0,0,0,0
HY,0,1,22,0,0,77,32,0,0,0,0,0,0,0,0
void_fluid,121,0,0,0,5,0,3,10,1,6,2,9,10,0,0
