from,to,feature,n_trans,n_probes,cohens_d,pval,pval_bonf
void_fluid,HY,rms_ap,316,316,401.1139,0.0,0.0
void_fluid,Isocortex,rms_ap,623,623,156.5467,0.0,0.0
void_fluid,Isocortex,aperiodic_offset,623,623,126.1532,0.0,0.0
void_fluid,Isocortex,recovery_time_secs,623,623,110.9299,0.0,0.0
void_fluid,Isocortex,psd_pc0,623,623,105.3464,0.0,0.0
void_fluid,HY,psd_pc0,316,316,79.1892,0.0,0.0
void_fluid,Isocortex,trough_time_secs,623,623,72.4633,0.0,0.0
void_fluid,HY,recovery_time_secs,316,316,70.0032,0.0,0.0
void_fluid,HY,aperiodic_offset,316,316,58.5437,0.0,0.0
void_fluid,HY,tip_time_secs,316,316,54.8763,0.0,0.0
void_fluid,HY,csd_pc0,316,316,52.3703,0.0,0.0
void_fluid,HY,trough_time_secs,316,316,50.536,0.0,0.0
void_fluid,Isocortex,tip_time_secs,623,623,42.4689,0.0,0.0
void_fluid,HY,csd_pc1,316,316,36.2723,0.0,0.0
void_fluid,HY,psd_pc1,316,316,26.9913,0.0,0.0
void_fluid,HY,aperiodic_exponent,316,316,25.4923,0.0,0.0
void_fluid,Isocortex,csd_pc0,623,623,23.9361,0.0,0.0
void_fluid,Isocortex,psd_pc1,623,623,18.2768,0.0,0.0
void_fluid,Isocortex,alpha_mean,623,623,15.8164,0.0,0.0
void_fluid,Isocortex,aperiodic_exponent,623,623,15.5618,0.0,0.0
CB,void_fluid,psd_pc0,1159,1159,14.2545,0.0,0.0
CB,void_fluid,aperiodic_offset,1159,1159,14.1912,0.0,0.0
CB,void_fluid,rms_ap,1159,1159,14.1427,0.0,0.0
CB,void_fluid,csd_pc0,1159,1159,14.1276,0.0,0.0
void_fluid,Isocortex,csd_pc1,623,623,14.0802,0.0,0.0
CB,void_fluid,recovery_time_secs,1159,1159,14.0024,0.0,0.0
CB,void_fluid,tip_time_secs,1159,1159,13.9345,0.0,0.0
CB,void_fluid,trough_time_secs,1159,1159,13.7486,0.0,0.0
CB,void_fluid,psd_pc1,1159,1159,13.4241,0.0,0.0
CB,void_fluid,csd_pc1,1159,1159,13.2416,0.0,0.0
void_fluid,HY,cor_ratio,316,316,12.8044,0.0,0.0
void_fluid,Isocortex,cor_ratio,623,623,11.9186,0.0,0.0
void_fluid,Isocortex,alpha_std,623,623,11.6288,0.0,0.0
