from,to,n_probes,n_trans,max_cohens_d,n_significant_features
void_fluid,HY,316,316,401.1139,20
void_fluid,Isocortex,623,623,156.5467,20
CB,void_fluid,1159,1159,14.2545,20
void_fluid,HB,1832,1832,9.0223,20
OLF,void_fluid,419,419,6.4646,20
void_fluid,root,664,664,6.1655,20
void_fluid,fiber tracts,1923,1923,5.9547,20
void_fluid,OLF,2526,2526,5.8207,20
Isocortex,void_fluid,3352,3352,5.7693,20
MB,void_fluid,519,519,5.3771,20
void_fluid,CB,713,713,5.1181,20
void_fluid,CNU,967,967,4.5744,20
void_fluid,HPF,823,823,3.8211,20
fiber tracts,void_fluid,152,152,2.4141,20
void_fluid,CTXsp,39,39,2.2988,20
HPF,MB,208,208,1.8427,16
fiber tracts,MB,135,135,1.4315,14
TH,HPF,917,917,1.9304,12
root,CNU,151,151,1.0794,7
Isocortex,CNU,79,79,1.2497,6
root,MB,57,57,0.874,6
CNU,HPF,109,109,2.04,4
CNU,Isocortex,1615,1615,1.8137,4
CTXsp,CNU,752,774,0.983,2
CNU,TH,283,283,0.9618,2
CB,MB,303,304,0.8168,2
MB,HPF,412,412,0.829,1
MB,Isocortex,459,459,0.829,1
fiber tracts,HB,468,468,0.8163,1
HPF,TH,51,51,0.8011,1
TH,CNU,65,65,1.1821,0
MB,CB,44,44,0.7833,0
CTXsp,OLF,79,79,0.783,0
VS,CB,31,31,0.7747,0
root,fiber tracts,211,211,0.7659,0
HY,TH,756,757,0.7547,0
MB,HY,181,182,0.7536,0
CNU,HY,284,342,0.7363,0
MB,TH,227,234,0.6461,0
OLF,CTXsp,1345,1346,0.6449,0
root,HY,235,235,0.6107,0
HPF,Isocortex,2750,2750,0.6102,0
MB,HB,43,45,0.5853,0
fiber tracts,root,56,56,0.577,0
HB,CB,1595,1623,0.5474,0
CTXsp,Isocortex,258,323,0.5368,0
Isocortex,CTXsp,149,149,0.5049,0
CTXsp,HPF,392,393,0.504,0
fiber tracts,HY,383,383,0.5019,0
root,HPF,32,32,0.4874,0
OLF,HPF,305,305,0.4831,0
fiber tracts,OLF,986,986,0.4831,0
CNU,OLF,380,410,0.4805,0
OLF,fiber tracts,111,111,0.477,0
root,VS,31,31,0.4592,0
OLF,CNU,255,264,0.4465,0
fiber tracts,CB,47,47,0.4436,0
HY,MB,224,250,0.4146,0
TH,MB,171,181,0.3382,0
OLF,Isocortex,1403,1403,0.3265,0
HB,MB,721,755,0.2994,0
HY,CNU,400,487,0.2349,0
