from,to,n_probes,n_trans,max_cohens_d,n_significant_features
HPF,MB,208,208,1.8427,16
TH,HPF,917,917,1.9304,12
Isocortex,CNU,79,79,1.2497,6
CNU,HPF,109,109,2.04,4
CNU,Isocortex,1615,1615,1.8137,4
CTXsp,CNU,752,774,0.983,2
CNU,TH,283,283,0.9618,2
CB,MB,303,304,0.8168,2
MB,HPF,412,412,0.829,1
MB,Isocortex,459,459,0.829,1
HPF,TH,51,51,0.8011,1
TH,CNU,65,65,1.1821,0
MB,CB,44,44,0.7833,0
CTXsp,OLF,79,79,0.783,0
HY,TH,756,757,0.7547,0
MB,HY,181,182,0.7536,0
CNU,HY,284,342,0.7363,0
MB,TH,227,234,0.6461,0
OLF,CTXsp,1345,1346,0.6449,0
HPF,Isocortex,2750,2750,0.6102,0
MB,HB,43,45,0.5853,0
HB,CB,1595,1623,0.5474,0
CTXsp,Isocortex,258,323,0.5368,0
Isocortex,CTXsp,149,149,0.5049,0
CTXsp,HPF,392,393,0.504,0
OLF,HPF,305,305,0.4831,0
CNU,OLF,380,410,0.4805,0
OLF,CNU,255,264,0.4465,0
HY,MB,224,250,0.4146,0
TH,MB,171,181,0.3382,0
OLF,Isocortex,1403,1403,0.3265,0
HB,MB,721,755,0.2994,0
HY,CNU,400,487,0.2349,0
