from,to,feature,n_trans,n_probes,cohens_d,pval,pval_bonf
HPF,MB,csd_pc0,18,18,1.8028,1.156106615741119e-28,8.786410279632505e-26
TH,CNU,cor_ratio,22,22,1.7376,5.218002340239134e-12,3.965681778581742e-09
TH,CNU,trough_time_secs,22,22,1.5377,2.8653960679190056e-12,2.1777010116184444e-09
TH,CNU,recovery_time_secs,22,22,1.5309,2.2500976877173184e-12,1.710074242665162e-09
HPF,MB,psd_pc0,18,18,1.4473,2.858697539961723e-27,2.1726101303709094e-24
TH,CNU,rms_ap,22,22,1.445,1.0133550702824877e-10,7.701498534146907e-08
TH,CNU,alpha_std,22,22,1.3712,1.7675457725515175e-10,1.3433347871391534e-07
TH,CNU,alpha_mean,22,22,1.287,1.991533846979467e-08,1.513565723704395e-05
TH,HPF,psd_pc0,208,206,1.2356,0.0,0.0
TH,HPF,aperiodic_offset,208,206,1.182,0.0,0.0
TH,CNU,depolarisation_slope,22,22,1.1778,1.4829104443562466e-08,1.1270119377107475e-05
TH,HPF,csd_pc0,208,206,1.1717,0.0,0.0
TH,CNU,peak_time_secs,22,22,1.1372,8.405204268904016e-11,6.387955244367051e-08
TH,CNU,aperiodic_offset,22,22,1.093,0.0008093389871726078,0.6150976302511819
HPF,MB,aperiodic_offset,18,18,1.0807,3.533874056992262e-17,2.6857442833141194e-14
TH,CNU,psd_pc0,22,22,1.059,0.00022583943524189358,0.17163797078383913
TH,CNU,repolarisation_slope,22,22,0.9382,1.3705351862309204e-05,0.010416067415354995
TH,HPF,cor_ratio,208,206,0.9352,1.8510515547329954e-266,1.4067991815970766e-263
TH,CNU,trough_val,22,22,0.9326,8.66411140765166e-05,0.06584724669815262
TH,CNU,peak_val,22,22,0.9315,0.00025222643579613614,0.19169209120506348
CNU,TH,recovery_slope,24,24,0.924,2.641753619503138e-09,2.007732750822385e-06
TH,CNU,tip_val,22,22,0.9203,6.7662760160279675e-06,0.0051423697721812555
CNU,TH,rms_ap,24,24,0.9091,1.5003628661035165e-07,0.00011402757782386726
CNU,TH,trough_val,24,24,0.8728,2.2890504202622663e-08,1.7396783193993224e-05
CNU,TH,peak_val,24,24,0.8438,1.573480551689071e-08,1.195845219283694e-05
HPF,MB,trough_time_secs,18,18,0.8426,1.963111918743068e-15,1.4919650582447318e-12
HPF,MB,recovery_time_secs,18,18,0.8242,1.1826302298238157e-14,8.987989746660999e-12
CNU,TH,csd_pc0,24,24,0.821,0.0002599549573700974,0.197565767601274
MB,HPF,trough_time_secs,113,112,0.8173,1.6709186924453149e-115,1.2698982062584393e-112
MB,HPF,recovery_time_secs,113,112,0.8042,1.6420591416169792e-113,1.2479649476289043e-110
TH,CNU,recovery_slope,22,22,0.7848,0.0002578395145262976,0.19595803103998616
TH,CNU,tip_time_secs,22,22,0.7832,0.00010686485253594986,0.0812172879273219
TH,HPF,rms_ap,208,206,0.7735,7.351696367695413e-206,5.587289239448514e-203
CNU,TH,repolarisation_slope,24,24,0.7595,3.567224473408266e-09,2.7110905997902822e-06
fiber tracts,HB,alpha_std,17,17,0.754,6.793684172478016e-14,5.163199971083292e-11
CTXsp,HPF,trough_time_secs,28,28,0.7408,6.587184371317225e-30,5.006260122201091e-27
CTXsp,HPF,recovery_time_secs,28,28,0.7403,1.0051869818453052e-29,7.639421062024319e-27
HPF,MB,rms_ap,18,18,0.7209,3.413777327581533e-11,2.594470768961965e-08
fiber tracts,MB,trough_val,21,21,0.7079,5.386742662577482e-24,4.093924423558887e-21
MB,HPF,psd_pc0,113,112,0.7038,2.808884130138487e-94,2.13475193890525e-91
Isocortex,void,trough_val,97,97,0.6961,5.924051888089402e-51,4.5022794349479457e-48
MB,HPF,aperiodic_offset,113,112,0.6915,1.6194705140969996e-85,1.2307975907137197e-82
CNU,TH,psd_pc1,24,24,0.6841,1.262864957663945e-06,0.0009597773678245981
HPF,Isocortex,csd_pc0,317,312,0.6826,1.321767685557077e-173,1.0045434410233786e-170
fiber tracts,HB,alpha_mean,17,17,0.6807,4.813785238193884e-10,3.6584767810273515e-07
Isocortex,void,peak_val,97,97,0.6791,5.689177308043909e-53,4.32377475411337e-50
CNU,HY,alpha_std,29,23,0.6733,5.916981939382584e-17,4.496906273930764e-14
MB,HPF,repolarisation_slope,113,112,0.6632,9.158304237481989e-85,6.960311220486312e-82
MB,HPF,csd_pc0,113,112,0.6598,3.8767001375233783e-85,2.9462921045177674e-82
fiber tracts,MB,peak_val,21,21,0.6472,6.409344002842377e-18,4.871101442160207e-15
