,VS,MB,Isocortex,CB,TH,CNU,OLF,CTXsp,root,fiber tracts,HB,HPF,HY,void_fluid
VS,0,0,0,31,0,0,0,0,1,11,4,0,7,0
MB,0,0,459,44,234,0,0,0,2,11,45,412,182,519
Isocortex,0,0,0,0,0,79,0,149,0,0,0,0,0,3352
CB,0,304,32,0,0,0,0,0,3,0,29,86,0,1159
TH,0,181,146,0,0,65,0,0,0,0,0,917,24,0
CNU,0,8,1615,0,283,0,410,24,0,0,0,109,342,0
OLF,0,0,1403,0,0,264,0,1346,0,111,0,305,0,419
CTXsp,0,10,323,0,8,774,79,0,0,0,0,393,0,0
root,31,57,0,2,0,151,0,0,0,211,2,32,235,5
fiber tracts,5,135,0,47,0,4,986,0,56,0,468,0,383,152
HB,0,755,0,1623,0,0,0,0,0,0,0,2,0,0
HPF,0,208,2750,0,51,0,0,29,0,0,0,0,8,5
HY,0,250,0,0,757,487,0,0,0,0,0,3,0,0
void_fluid,18,0,623,713,0,967,2526,39,664,1923,1832,823,316,0
