pid,epsilon,alpha,cr,cr_realized,file_bytes,r2_wheel,balanced_accuracy_choice,null_choice,balanced_accuracy_feedback,null_feedback
1a276285-8b0e-4cc9-9f0a-a3a002978724,50.0,14.0,50.11182377114555,40.64348253453104,46969194,0.1330651766965428,0.5016812865497077,0.5011057360513882,0.5429409543725131,0.4976141173641173
1a276285-8b0e-4cc9-9f0a-a3a002978724,50.0,28.0,63.686658561371246,51.50144964132954,37066755,0.1329704260556818,0.5016812865497077,0.5009178743961352,0.539550114722198,0.499277898027898
1a276285-8b0e-4cc9-9f0a-a3a002978724,50.0,40.0,69.10120420536862,55.8841419751498,34159809,0.1315032657128326,0.4989035087719298,0.4998702686202687,0.5171139380209695,0.4990739057239057
1a276285-8b0e-4cc9-9f0a-a3a002978724,50.0,55.0,73.19985823429899,58.48439389635926,32641043,0.1277261902936317,0.5005847953216375,0.5002018633540373,0.5042403647875461,0.4991911736411737
1a276285-8b0e-4cc9-9f0a-a3a002978724,50.0,75.0,76.68677215507451,60.68253548958497,31458666,0.1200626672040723,0.4989035087719298,0.4998702686202687,0.4979959919839679,0.5008222222222222
1a276285-8b0e-4cc9-9f0a-a3a002978724,50.0,96.0,79.11329259360573,63.3418901999844,30137901,0.1145998737270717,0.5027777777777778,0.4998702686202687,0.500617176381749,0.5004552910052911
1a276285-8b0e-4cc9-9f0a-a3a002978724,100.0,14.0,63.56365577070524,49.27614638915513,38740684,0.1330781258656075,0.5016812865497077,0.5003298030471943,0.5153422787604194,0.4997640452140451
1a276285-8b0e-4cc9-9f0a-a3a002978724,100.0,28.0,87.02075238630499,66.17919240785088,28845798,0.132991398063286,0.5016812865497077,0.499951690821256,0.539550114722198,0.5008646705146705
1a276285-8b0e-4cc9-9f0a-a3a002978724,100.0,40.0,97.40505579777012,73.59557668979984,25938945,0.1315032657128326,0.4989035087719298,0.4996764346764347,0.5171139380209695,0.4988458393458394
1a276285-8b0e-4cc9-9f0a-a3a002978724,100.0,55.0,105.70601870478114,78.17271183802544,24420179,0.1277261902936317,0.5005847953216375,0.4998141954663693,0.5042403647875461,0.4987141895141894
1a276285-8b0e-4cc9-9f0a-a3a002978724,100.0,75.0,113.0959783628296,82.15026601913554,23237802,0.1200626672040723,0.4989035087719298,0.5000641025641026,0.4979959919839679,0.4998814814814815
1a276285-8b0e-4cc9-9f0a-a3a002978724,100.0,96.0,118.42644910513324,87.10080728521834,21917037,0.1145998737270717,0.5027777777777778,0.4998702686202687,0.500617176381749,0.501121164021164
1a276285-8b0e-4cc9-9f0a-a3a002978724,150.0,14.0,70.43440703988648,53.60128259531755,35614663,0.1333302454041917,0.5016812865497077,0.5001371635610766,0.5153422787604194,0.4994901875901876
1a276285-8b0e-4cc9-9f0a-a3a002978724,250.0,14.0,77.59652340796637,57.617283256802715,33132274,0.1325669684269524,0.5016812865497077,0.5001359691033603,0.5685356219685748,0.4962623857623858
1a276285-8b0e-4cc9-9f0a-a3a002978724,250.0,28.0,114.5617915239321,81.38093333128708,23457480,0.1330212028096051,0.5016812865497077,0.4995652173913044,0.5441753071360111,0.4999768398268399
1a276285-8b0e-4cc9-9f0a-a3a002978724,250.0,40.0,133.18372210438744,92.83969451764364,20562235,0.1314911408498402,0.4989035087719298,0.5000641025641026,0.5171139380209695,0.5000288840788842
